cc_name,mentor,description,issues,youtube_publish_date,updated_at,district,impact_possible,is_impact,impact_in_process,target_official,impact_plan,youtube_publish_date_year,youtube_publish_date_month,youtube_publish_date_day,updated_at_year,updated_at_month,updated_at_day,cta_present,cta_description
 Nabor Kerketta Goreti Kujur (maria Goerti),GRADUATE CC,"Under the Swachh Bharat Abhiyan, every poor and helpless family had a provision to get toilets from the government, but only 75 of the 871 toilets were built in the entire Khamra panchayat, including ward number one and two Karmatand village of Bokaro district, Gomiya block panchayat Khamra of Jharkhand state. Only % of toilets are being used because toilets are not built properly, some are incomplete, some are not built firmly even after being completed, some do not have plates, some do not have pits, and even if a complete toilet is built. If it is so weak that the whole room has fallen, someone's water leaks in the rain, the condition of the toilet is very dilapidated and earlier there was no water, because of this people did not use much, now there is water, so people want to use it. But due to non-functioning of toilets, they are not able to use them. On this problem, I made a video with full cooperation and committee of Ward No. 2 Nooni Devi, Ward No. 1 Rajkumari Kisku. Contacted Dilip Kumar for repairing the toilet Gave an application also, on this problem I also contacted the chief.",anti poverty programs,2022-11-16 00:00:00.000,2022-12-07 12:35:43.872,BOKARO,True,False,True,NA,NA,2022,11,16,2022,12,7,False,NA
 Nabor Kerketta Goreti Kujur (maria Goerti),GRADUATE CC,"Under the complete health campaign, there is a provision to make toilets in every house, but 14 families, including Gudiya Devi of Tetriya Tand village, Hosir Purvi Panchayat, Gomiya Block, Bokaro District, Jharkhand, still have to go out for defecation, due to which many facing problems. === There is a provision to construct toilets in every household under the Swampurna Swasth Campaign, but 14 families, including Gudiya Devi of Tetria Tand village Hosir Purvi Panchayat Gomia block Bokaro district, Jharkhand, still have to go out for defecation. Due to no toilet many are facing problems.",sanitation,2021-03-07 00:00:00.000,2022-03-30 13:01:53.727,BOKARO,True,False,True,NA, NA,2021,3,7,2022,3,30,True,NA
 Shanti Kumari Baraik,GURUPRASAD PEDNEKAR, District Gumla Block Kamdara Panchayat Latra Village Latra sub health center building is in dilapidated condition in which water electricity facility is not available and 10 -15 patients come here every day,health,2021-08-25 00:00:00.000,2022-06-15 05:24:23.547,GUMLA,True,True,True,NA, NA,2021,8,25,2022,6,15,True,NA
 Saroj Kumar Rawani,GRADUATE CC," There is only one primary health center in District Chatra Block Kanhachatti, which provides health facilities to 124 villages of 10 panchayats of Kanhachatti block, but there is neither a doctor nor an ambulance in this health center, nor patients get better treatment here. Till now there is no handpump for drinking water in this health center, due to lack of water, the toilet is also not being used.",anti poverty programs,2021-08-18 00:00:00.000,2023-01-16 07:09:54.232,CHHATRA,True,True,True,NA, Aapne chat group ki mad se age impact planning karenge,2021,8,18,2023,1,16,True,NA
 Saroj Kumar Rawani,GRADUATE CC,"District Chatra Block Kanhachatti Panchayat Bengokala Village Bengokhurd in Tribal Tola, 15 bpl families have not got the benefit of Pradhan Mantri Awas Yojana, due to which about 130 people from 15 houses are forced to live in broken mud houses, while the housing scheme Under Pratyak bpl family, an amount of 1 lakh 45 thousand rupees is given in 3 installments to build a house under Pradhan Mantri Awas Yojana, whereas the names of these people are mentioned in the list of the scheme, yet till now these families have not received the housing scheme. not getting the benefit of",anti poverty programs,2022-10-13 00:00:00.000,2022-11-16 06:31:26.390,CHHATRA,True,False,True,NA,NA,2022,10,13,2022,11,16,False,NA
 Saroj Kumar Rawani,GRADUATE CC,"District Chatra Block Kanhachatti Panchayat Tulbul village Manjholia 20 houses of st Sanudaya people are living for drinking water for these people 2 years back a water tower was installed under the Mukhyamantri Nal Jal Yojana but since 6 months the water tower got spoiled Due to this, the village is facing the problem of water, the villagers bring water from half a kilometer away, there is a well in the village, due to the hilly area, the water remains very less, due to which the water of the well comes out dirty, which is filtered by the villager's cloth. Forced to quench thirst, children also fall ill due to drinking dirty water.",water,2022-08-29 00:00:00.000,2022-11-17 08:52:12.297,CHHATRA,True,True,True,NA, NA,2022,8,29,2022,11,17,False,NA
 Saroj Kumar Rawani,GRADUATE CC,"District Chatra Block Kanhachatti Panchayat Bengokala Village Chaur Tod 40 tribal families are living where there is a big water problem in the village under Chief Minister Nal Jal Yojana drinking water supply was done by PhD department but for 8 months There is a shortage of water in the village due to damage to the water tower, now the villagers are drinking water from a small well made in the field, which comes out dirty. The well is also far away from the village, due to which about 300 people of 40 houses are troubled by the water problem.",water,2022-09-28 00:00:00.000,2022-11-16 06:32:28.696,CHHATRA,True,False,True,NA, NA,2022,9,28,2022,11,16,False,NA
 Saroj Kumar Rawani,GRADUATE CC," Not a single toilet has been built in 14 houses of Hatijan Tola of District Chatra Block Itkhori Panchayat Pitij village Pitij, due to which the villagers are still forced to go to open defecation, while the panchayat has been declared odf in October 2018.",sanitation,2021-03-01 00:00:00.000,2022-03-30 13:01:53.727,CHHATRA,True,False,True,NA, NA,2021,3,1,2022,3,30,True,NA
 Saroj Kumar Rawani,GRADUATE CC,"In Itkhori, the main market of Chatra Block Itkhori, a community toilet was built 3 years ago at a cost of Rs 15 lakh 59 thousand, which has not been opened for defecation for the common people visiting the market even after it was inaugurated 2 years ago. Due to which thousands of men and women coming to Itkhori market have to face a lot of trouble every day.",anti poverty programs,2022-01-18 00:00:00.000,2022-03-30 13:01:53.727,CHHATRA,True,False,True,BDO, Will share video and talk to block officer,2022,1,18,2022,3,30,True,NA
 Saroj Kumar Rawani,GRADUATE CC,"District Chatra Block Itkhori Panchayat Halmta Village Sarheta Ward No. 9 has a road that has not been built till date which is very bad especially in rainy season the whole road turns into mud this road is 1kn due to which about 70 houses of Sarheta village 350 people have to face a lot of difficulty in coming and going, vehicles do not reach for the delivery of women on this road, children also have to face problems in going to school.",rural innovation,2022-07-27 00:00:00.000,2022-08-25 10:51:57.545,CHHATRA,True,False,True,NA,"Along with the panchayat officer, the block officer has to be contacted as well.",2022,7,27,2022,8,25,True,NA
 Saroj Kumar Rawani,GRADUATE CC,"Under the Pradhan Mantri Awas Yojana, an amount of one lakh 45 thousand rupees is given to each bpl families living below the poverty line and living in mud houses, but district Chatra Block Itkhori Panchayat Tona Tod Village Chakrawar 15 BPL families including Ashok Bharti have not got the benefit of Awash Yojana, due to which these families still have to live in mud mud houses.",anti poverty programs,2022-07-22 00:00:00.000,2022-08-25 10:48:01.303,CHHATRA,True,False,True,NA," Video Screening, Writing application submitting to relevant officer",2022,7,22,2022,8,25,True,NA
 Nabor Kerketta Goreti Kujur (maria Goerti),GRADUATE CC,"Mohd. Soni Praveen, Village Mashjid Mahla, Panchayat Paschim Sasbeda, District Bokaro, is a resident of Bokaro, her economic condition is getting worse after 4 years of her husband's death. Keeps happening. Getting a housing scheme would have given relief.",anti poverty programs,2018-09-20 00:00:00.000,2022-11-18 10:44:01.764,BOKARO,True,False,False,BDO," visit to BDO office, give an application sign by applicant. screen video to DO. submit all important documents",2018,9,20,2022,11,18,True,ghar diya jay
 Manju Kisku,NA,"Construction work of pcc road from pucca road in Jhandi village of Panchayat Narki of Vishnugarh block of Hazaribagh district to below Khori was declared complete in 2017. But the pc c-construction work on the ground has been done only for 100 meters. While the length of the road will be 1 kilometer, every day more than 500 people come and go through this route.",crumbling infrastructure,2018-08-30 00:00:00.000,2022-11-18 10:44:01.764,HAZARIBAGH,True,False,False,BDO," make an application sign by villagers, submit to BDO office.screen video in community",2018,8,30,2022,11,18,True,road ka nirman kiya kiya jay
 Manju Kisku,NA,"In Jhandi village of Narki panchayat of Vishnugad block of Hazaribagh district, Parvati Devi asked the chief several times to repair the well, but till now the plan is being made. There are 4 more wells in this village which need to be repaired. It has been a long time since the proposal was given to the head in the Gram Sabha.",crumbling infrastructure,2018-08-14 00:00:00.000,2022-11-18 10:44:01.764,HAZARIBAGH,True,False,False,BDO," application, go with community and screen video,",2018,8,14,2022,11,18,True,who is nirman?
 Manju Kisku,NA,"Sobron Manjhi in village Jhandi Tola Boro Beda of Vishnugarh block of Hazaribagh district is now 65 years old, his house condition is not good in this village and there are 8 old people who are more than 60 years old, they are also not getting pension. Some of these forms have been filled many times but nothing happens.",anti poverty programs,2018-09-01 00:00:00.000,2022-11-18 10:44:01.764,HAZARIBAGH,True,False,False,BDO," visit to BDO office, give an application, sign by all 8 people and submit all documents to BDO office. Screen video in village",2018,9,1,2022,11,18,True,pension given jay
 Nabor Kerketta Goreti Kujur (maria Goerti),GRADUATE CC,"Village - Gadke, Panchayat - Armo, Block - Bermo, District - Bokaro, has a small tank is made on the banks of the river in Jharkhand and all the 21 families, here drink the water from this tank, so they want this ditch to be made in bigger size by the government.",water,2020-01-15 00:00:00.000,2023-01-10 12:10:58.645,BOKARO,True,True,False,BDO, screen this video to BDO for urgent supply of water by ditching the pond for better water facility for the villagers against contamination and other hazards to the villagers to fail sick.,2020,1,15,2023,1,10,False,NA
 Nabor Kerketta Goreti Kujur (maria Goerti),GRADUATE CC," Village - Gadke, Panchayat - Armo, Block - Bermo, District - Bokaro, has a small ditch is made on the banks of the river in Jharkhand and all the 21 families, here drink the water from this ditch, so they want this ditch to be made in bigger size by the government.",water,2020-01-15 00:00:00.000,2022-11-18 10:42:09.753,BOKARO,True,False,False,BDO, screen this video to BDO for urgent supply of water by ditching the pond for better water facility for the villagers against contamination and other hazards to the villagers to fail sick.,2020,1,15,2022,11,18,True,let these villagers get clean water by making this ditch renovated or installation of hand-pump for these villagers for clean water for their use.
 Ravinder Baraik,SHIKHA PAHARIN,"Road construction started in 2018 at a distance of about 35 km from Marcha of Raniya, district-Khuti, block-Torpa. But even after lapse of 3-4 years, the compensation for the acquisition of the land of the ryots is not being received. Due to which about 3000 farmers are suffering loss.",forced evictions,2021-10-06 00:00:00.000,2022-03-30 13:01:53.727,KHUNTI,True,False,True,NA,NA,2021,10,6,2022,3,30,True,NA
 Ravinder Baraik,SHIKHA PAHARIN," The Lal card of Sondari Topano of Khunti - District, Block-Torpa, Panchayat-Marcha, Village-Turigada, who gets only 10 kg ration(rice). This family is a very poor, is running a family by doing daily labour. Family members number is two, if this family gets 35 kg every month, the family would not have any problem.",livelihoods,2020-03-24 00:00:00.000,2022-11-18 10:42:09.753,KHUNTI,True,False,False,BSO, screen this video to Block Supply officer for immediate supervision why 10 kilogram rice is given instead of 35 kilogram rice for the family can survive on this without much problem.,2020,3,24,2022,11,18,True,screen this video to block supply officer for immediate supervision why 10 kilogram rice is given instead of 35 kilogram rice for the family can survive on this without much problem.
 Ravinder Baraik,SHIKHA PAHARIN," Bansati Konagari of Khunti-District, Block-Torpa, Panchayat-Udikel, Gram-Vishrampur does not have ration card, while the family has 6, and the dealer has got 3 months online deposit, which is not yet made due to which the family she is having a lot of trouble, somehow running a family with wages, which can be a crisis anytime.",livelihoods,2020-03-20 00:00:00.000,2022-11-18 10:42:09.753,KHUNTI,True,False,False,8, cc must screen this video to Food supply officer for immediate solution of the problem by considering the application online as the family have already applied for their ration to be included.,2020,3,20,2022,11,18,True,let the family get this ration card opportunity as beneficiary of this for survival of their family.
Rejan Gudiya,SHIKHA PAHARIN," Due to falling of the roof of the school building in the last rain, there is no building for the children to sit in the coming days in the village _Post Barda Block Torpa District Khunti Jharkhand.",education,2022-03-28 00:00:00.000,2022-04-19 11:35:01.719,KHUNTI,True,False,True,NA, NA,2022,3,28,2022,4,19,False,NA
 Ravinder Baraik,SHIKHA PAHARIN,"Jal Jeevan Mission, is envisioned to provide safe and adequate drinking water through individual household tap connections by 2024 to all households in rural India. Whereas, National Rural Drinking Water Program (NRDWP) was launched in 2009. It aims to provide safe and adequate water for drinking, cooking and other domestic needs to every rural person on a sustainable basis.District-Khuti,Block-Torpa, Panchayat- There are a total of 4 chapakals in Marcha, village-Navatoli, but at present all four chapakals are out of order since last 6 months (June 2021) due to which 300 people including 60 families are facing a lot of trouble for pure water. 1 solar panel run water pump which is also bad. They are forced to drink water from a well located half a kilometer away. Jo ki ganda hai. Usse kapde se chan chan kar lena hota hai. It takes a lot of time to bring water to the main pure village. Kai baar Jal Sahiya aur Mukiya ko avedan dene ke baad bhi mudda nahi solution isliye gaon walo ne Ravinder ko callaya.",water,2021-12-29 00:00:00.000,2022-10-05 04:58:52.582,KHUNTI,True,True,True,NA, NA,2021,12,29,2022,10,5,True,NA
Rejan Gudiya,SHIKHA PAHARIN," In village Lohajimi, there is no electricity since last fifteen days, due to which the entire 85 families of the village have to face the terror of elephants, this is happening due to the negligence of the departmental officers.",power & energy,2021-08-20 00:00:00.000,2022-03-30 13:01:53.727,KHUNTI,True,True,True,NA, NA,2021,8,20,2022,3,30,True,NA
 Ravinder Baraik,SHIKHA PAHARIN,"In District-Khuti, Block-Torpa, Panchayat-Okda, Village-Sridkel, for the last 2 years, 16 farmers have cultivated watermelon in about 25-30 acres, but due to the lockdown, the farmer is in a lot of trouble, watermelon rotting in the fields itself. Every farmer has been doing farming in 3-4 acres by taking loan from women's group up to 10000 capital. In this way, farmers who are drowning in debt since last years, have been ruined only because of the lockdown.",agrarian crisis,2021-05-31 00:00:00.000,2022-03-30 13:01:53.727,KHUNTI,False,False,NA,NA,NA,2021,5,31,2022,3,30,NA,NA
Rejan Gudiya,SHIKHA PAHARIN," It's been 70 years since independence, the road connecting Tapkara to Rania block of Torpa block was rough and is still rough. In which the visiting villagers, government employees and businessmen are very upset, hundreds of people come daily.",crumbling infrastructure,2018-09-04 00:00:00.000,2022-11-18 10:44:01.764,KHUNTI,True,False,False,DC," Make an application signed by Villagers, give to DC. Also call a gram sabha and discuss the issue. screen video in community",2018,9,4,2022,11,18,True,road ka nirman kiya kiya jay
 Ravinder Baraik,SHIKHA PAHARIN,"In our Jharkhand, the Karma festival is going on by tradition and apart from this, Chhattisgarh, Assam, Bengal, Orissa celebrate with pomp in these states. In this festival, there is worship of nature, which is brought after cutting the branch of the Karam tree by the Pahan of the village. After worshiping the Pahan, all the sisters of the village offer prayers for their brother's happiness, prosperity and longevity. On the basis of this, we celebrate by singing and dancing and in the morning all the sisters immerse Karam Dali in the river/pond.",art & culture,2022-09-21 00:00:00.000,2022-11-17 10:31:52.941,KHUNTI,False,False,NA,NA,NA,2022,9,21,2022,11,17,NA,NA
 Nabor Kerketta Goreti Kujur (maria Goerti),GRADUATE CC," In Kamra village of Kamda block, the residents are facing problems in collecting 16000 rs to pay electricity bill which is given to them after 2 years including the interest rate. None of the residents of that village have a permanent job. That he/she could pay an electricity bill of Rs 11000 -16000.",power & energy,2021-03-16 00:00:00.000,2022-03-30 13:01:53.727,BOKARO,True,False,False,NA, CC needs to do the proper follow up with target official to resolve this issue.,2021,3,16,2022,3,30,False,NA
Rejan Gudiya,SHIKHA PAHARIN," A village named Champabaha of Tapkara panchayat in Torpa district of Jharkhand where village was declared ODF, to cheat the people and Mahatma Gandhi as well",sanitation,2019-11-04 00:00:00.000,2022-11-18 10:44:01.764,KHUNTI,True,False,False,BDO,"The toilet has been constructed but the beneficiary families are not using it, for all these people to use the toilet, it is necessary to have a water system, for this you hold a meeting with the community and get everyone to sign or thumbprint the application. After installing Nissan, give it to the PHED department along with the block office.",2019,11,4,2022,11,18,True,water facility should be given so that the dream program of government gets the justice.
Rejan Gudiya,SHIKHA PAHARIN,"There is still no road connectivity even after 10 years of construction of Fatka Panchayat Bhawan of Torpa block. Due to this, the workers and villagers coming to the Phatka Panchayat Bhawan are very upset during the rainy season. About 30 to 40 people bring their work to the Panchayat Bhawan on weekly Thursdays.",crumbling infrastructure,2018-09-05 00:00:00.000,2022-11-18 10:44:01.764,KHUNTI,True,False,False,DC," call a gram sabha, make an application, sign by community members and gram sabha members. give application to DC, screen video in community and screen to DC",2018,9,5,2022,11,18,True,road ka nirman ho
Rejan Gudiya,SHIKHA PAHARIN,"The solar system built under the Nal Jal Yojana is defunct for the last one and a half years, affecting 60 and 70 families, who are bringing drinking water from old-fashioned wooden sticks.",water,2021-03-11 00:00:00.000,2022-03-30 13:01:53.727,KHUNTI,True,False,True,NA, cc needs to take proper follow up with the responsible official to resolve this problem.,2021,3,11,2022,3,30,False,NA
 Tulsi Hembrom,SHIKHA PAHARIN," Kondari Tudu in District East Singhbhum Jamshedpur Block Gadra Panchayat Khakripara Village Tola Maredi says that there is electricity for 20 years but three houses have no electricity connection. Due to which, working in the dark, there is a fear of insects and children, even children have problems in writing.",crumbling infrastructure,2020-03-19 00:00:00.000,2022-11-18 10:42:09.753,EAST SINGHBHUM,True,False,False,DO, organize a meeting with the community. Screen the related video. Write an application and visit the BDO office with the community members. screen that video in front of the officer. Take a receipt of the complaint from the BDO office. Follow-up the process with officers and community till the end,2020,3,19,2022,11,18,True,get the electricity connection
 Shikha Paharin,GRADUATE CC,"There are 42 houses in District Sahebganj Panchayat Karampura and Block Taljhari, District Sahebganj, in which 17 houses have been provided with electricity by solar panels and the rest of the houses are still in darkness.",power & energy,2018-10-01 00:00:00.000,2022-11-18 10:42:09.753,SAHEBGANJ,True,False,False,BDO," visit to BDO, screen video, write an application signed by villagers and submit to BDO, video screen in community",2018,10,1,2022,11,18,True,solar light
 Nabor Kerketta Goreti Kujur (maria Goerti),GRADUATE CC,"The displaced families from Tenu Dam have been rehabilitated in Suyadih village. Many families have got the Pradhan Mantri Awas Yojana but Haseena Khatun and seven families like it have not received the Pradhan Mantri Awas Yojana, due to which water leaks in the rain and the house is also collapsing, due to which they are facing a lot of problems. Even after filling the form several times, no hearing has been done yet.",anti poverty programs,2020-12-07 00:00:00.000,2022-03-30 13:01:53.727,BOKARO,True,False,True,NA,NA,2020,12,7,2022,3,30,False,NA
 Shanti Kumari Baraik,GURUPRASAD PEDNEKAR," Johani Topano from Gumla, Block Kamara Panchayat, Surhu Village Murga, She is 78 years old and despite filling the form for old age pension many times, not getting the benefit.",governance and accountability,2020-01-08 00:00:00.000,2022-11-18 10:42:09.753,GUMLA,True,False,False,DO, organize a meeting with the community. Screen the related video. Write an application and visit the BDO office with the community members. screen that video in front of the officer. Take a receipt of the complaint from the BDO office. Follow-up the process with officers and community till the end,2020,1,8,2022,11,18,True,get the benefits of the scheme
 Mary Nisha Hansda,HARIHAR NAGBANSI,"Pharpur village main 65 people's Antodaya card has been canceled in one year. Antodya Card mainly deals with giving 35 kg of rice and 65 families get it. But ab card badal gaya hai - ab PHH ban gaya hai. According to the person in the body, 5 kg of rice is available. Toh ye kafi nahi hota hai. Block - Sunder phari , Gaon - Pharpur, Panchayat - Baasjori.",anti poverty programs,2021-09-20 00:00:00.000,2022-03-30 13:01:53.727,GONDA,True,False,True,NA,NA,2021,9,20,2022,3,30,NA,NA
 Mary Nisha Hansda,HARIHAR NAGBANSI," 8 people of the village were injured due to gas blasting in the house of Paulina, head of Sindri village of Sindri Panchayat of Sundarpahari block under Godda district.",health,2018-09-04 00:00:00.000,2022-11-18 10:44:01.764,GONDA,True,False,False,DC,"visit to DC, screen video, give an application for a compensation",2018,9,4,2022,11,18,True,muvabza mile
 Mary Nisha Hansda,HARIHAR NAGBANSI,"Even in 75 years of independence, the people of Maspada village of Bada Paktadi Panchayat of Sundarpahari Block, where they were for centuries, are still on the same place due to negligence of the department. Like they are deprived of roads, electricity, pure water, ration etc. Pure village's 400 log is karan pravavit hai. Koi bhi sarkari adhikari iss gaon par dhayan nahi dete hai isliye iss gaon ka yeh haal hai. Gaon tak jane main bhi bhaut dikat hoti hai kyunki sadak nahi hai. CC khud motorcycle se kisi tarh yaha gayi hai. If you don't get any facility, the people of the village keep the battery for charging the mobile, the other main house is built and diseases are also caused by drinking dirty water. In 2019 processions were taken out in the main villages and an application was made to the district collector.",water,2021-11-23 00:00:00.000,2022-03-30 13:01:53.727,GONDA,True,False,True,NA,NA,2021,11,23,2022,3,30,False,NA
 Mary Nisha Hansda,HARIHAR NAGBANSI," Even after having an anganwadi center in Pahadpur village of Baisjori Panchayat in block Sundar Pahadi, District Godda. The lactating mother Anjani Soren and along with others lactating mothers from five tolla, pregnant women and young children up to 3to 6 years deprived of receiving the benefits.",anti poverty programs,2019-09-27 00:00:00.000,2022-11-18 10:44:01.764,GONDA,True,False,False,DPO,visit to village call a meeting. screen video and make an application. visit to samaj kalyan adhikari with community people and submit the application. screen video to officers,2019,9,27,2022,11,18,True,allot new anganwadi center
 Mary Nisha Hansda,HARIHAR NAGBANSI," Due to the lack of proper rainfalls in 2018 and lack of food security, not only from Bada Sindri Panchayat, but also from the village of Dumara; rather, more than 500 families population of Sunder Pahadi block located in Godda district have fled to Bengal and Mumbai four months ago in search of food security.",agrarian crisis,2019-02-14 00:00:00.000,2022-11-18 10:44:01.764,GONDA,True,False,False,CO,CC should Screen this video to Deputy commissioner and pressurize the authority for taking care of those migrant people with protection as children and adults together leaving their own places for food security and income. And the local administration should be aware about all these happening to take immediate steps to such migration. This video should be screened to as many as govt authority possible for strict rule as if people won't be in risk and danger. Administration should take prevention and all necessary support without any misshapen. Anshuman 2019 community Screening & Meeting ka aayojan kare puri Samasya par samuhik charcha kare aur BDO ke nam ek application likhe application uske bad application ki photocopy karwaye aur fir community ke sath jakar BDO se mile unko video dikhaye par samasya par charcha kare aur deep boring kar me gaon handpump lagawane ke liye likhit application de aur photocopy par unse receiving le aur uprokt sabhi process ko achche se interview sahit bhi karte rhe.,2019,2,14,2022,11,18,True,screen this video to deputy commissioner and pressurize the authority for taking care of those migrant people with protection as children and adults together leaving their own places for food security and income. and the local administration should be aware about all these happening to take immediate steps to such migration. this video should be screened to as many as govt authority possible for strict rule as if people won't be in risk and danger.
 Sanchita Pathak,MST SORIYA BANU," Kalidas Marandi is not getting old-age pension. Since the year 2000, she has been filling up forms uptil 2019, but the pension has not yet been issued.",anti poverty programs,2019-01-10 00:00:00.000,2022-11-18 10:44:01.764,DUMKA,True,False,False,BDO, Write a letter to the BDO signed by the villagers. Keep a copy of the letter and submit it to the office. Take some villagers along with you to the office. show this mojo to the BDO,2019,1,10,2022,11,18,True,old-age pension sanction
 Sanchita Pathak,MST SORIYA BANU,"About 1000 people living there have to face a lot of difficulties everyday due to the bad condition of the main road of Mahagama village of Shikaripada block of Dumka district. After talking to them, it came to know that during the rainy season, it takes a long time for those people to go out of their village, as well as there is a possibility of accident. 3-4 times the villagers of this village appealed to the officials, but So far the solution has not been found.",crumbling infrastructure,2021-11-03 00:00:00.000,2022-03-30 13:01:53.727,DUMKA,True,False,True,NA, cc can write the application and can approach the target official of the area to take suitable action to solve the problem,2021,11,3,2022,3,30,False,NA
